Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
JS3ADMUI,journalArticle,2019,#NAME?,Stochastic gastric image augmentation for cancer detection from X-ray images,,,,,http://gateway.isiknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=AegeanSoftware&SrcApp=NoteExpress&DestLinkType=FullRecord&DestApp=WOS&KeyUT=000554828704140,"X-ray examinations arc a common choice in mass screenings for gastric cancer. Compared to end oscopy and other common modalities, X-ray examinations have the significant. advantage that they can be performed not only by radiologists but also by radiology technicians. However, the diagnosis of gastric X-ray images is very difficult and it has been reported that the diagnostic accuracy of these images is only 85.5%. In this study, we propose a practical diagnosis support system for gastric X-ray images. An important component of our system is the proposed on-line data augmentation strategy named stochastic gastric image augmentation (sGAIA), which stochastically generates various enhanced images of gastric folds in X-ray images. The proposed sGAIA improves the detection performance of the malignant region by 6.9% in F1-score and our system demonstrates promising screening performance for gastric cancer (recall of 92.3% with a precision of 32.4%) from X-ray images in a clinical setting based on Faster R-CNN with ResNet101 networks.",2019,2025/4/23 19:24,2025/4/23 20:23,,,,,,,,,,,,,,,en,,,,,Clarivate Analytics Web of science,,"Num Pages: 4858-4863 Place: Los Angeles, CA Web of Science ID: WOS:000554828704140",,,,gastric cancer; 1259; computer-aided diagnosis; convolutional neural networks; data augmentation; X-ray images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VQYCN6WC,journalArticle,2023,"David, Paul; Mittelstaedt, Anke; Kouhestani, Dina; Anthuber, Anna; Kahlert, Christoph; Sohn, Kai; Weber, Georg F.",Current Applications of Liquid Biopsy in Gastrointestinal Cancer Disease-From Early Cancer Detection to Individualized Cancer Treatment,CANCERS,,2072-6694,10.3390/cancers15071924,http://gateway.isiknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=AegeanSoftware&SrcApp=NoteExpress&DestLinkType=FullRecord&DestApp=WOS&KeyUT=000970600100001,"Worldwide, gastrointestinal (GI) cancers account for a significant amount of cancer-related mortality. Tests that allow an early diagnosis could lead to an improvement in patient survival. Liquid biopsies (LBs) due to their non-invasive nature as well as low risk are the current focus of cancer research and could be a promising tool for early cancer detection. LB involves the sampling of any biological fluid (e.g., blood, urine, saliva) to enrich and analyze the tumor's biological material. LBs can detect tumor-associated components such as circulating tumor DNA (ctDNA), extracellular vesicles (EVs), and circulating tumor cells (CTCs). These components can reflect the status of the disease and can facilitate clinical decisions. LBs offer a unique and new way to assess cancers at all stages of treatment, from cancer screenings to prognosis to management of multidisciplinary therapies. In this review, we will provide insights into the current status of the various types of LBs enabling early detection and monitoring of GI cancers and their use in in vitro diagnostics.",Apr-23,2025/4/23 17:57,2025/4/23 19:54,,1924,,7,15,,Cancers,,,,,,,,English,,,,,Clarivate Analytics Web of science,,Num Pages: 39 Place: Basel Publisher: MDPI Web of Science ID: WOS:000970600100001,,,,COLORECTAL-CANCER; GASTRIC-CANCER; gastrointestinal cancer; HEPATOCELLULAR-CARCINOMA; PANCREATIC-CANCER; CIRCULATING TUMOR-CELLS; FREE DNA; liquid biopsy; CLINICAL-SIGNIFICANCE; EXTRACELLULAR VESICLES; circulating tumor cells (CTCs); circulating tumor DNA (ctDNA); EDUCATED PLATELETS; FUNCTIONAL IMPLICATIONS; organoids; tumor exosomes; tumor-educated blood platelets (TEPs); 230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3FHGE6E,journalArticle,2021,"Li, Haojie; Zhao, Junjie; Sun, Jie; Tian, Chenyu; Jiang, Quan; Ding, Chen; Gan, Qiangjun; Shu, Ping; Wang, Xuefei; Qin, Jing; Sun, Yihong",Demethylation of the SFRP4 Promoter Drives Gastric Cancer Progression via the Wnt Pathway,MOLECULAR CANCER RESEARCH,,"1541-7786, 1557-3125",10.1158/1541-7786.MCR-20-0933,http://gateway.isiknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=AegeanSoftware&SrcApp=NoteExpress&DestLinkType=FullRecord&DestApp=WOS&KeyUT=000693187500003,"Wntsignaling is believed to be an important contributor to tumor development and has been reported to be modulated by secreted frizzled-related proteins (SFRP). Nevertheless, the role of secreted frizzled-related protein 4 (SFRP4) in tumorigenesis remains controversial. We aim to explore its biological function in gastric cancer. Genomes analysis based on the Gene Expression Omnibus (GEO) dataset was used to find the differential gene expression between different tumor-node-metastasis (TNM) stages of gastric cancer. IHC was used to determine the relationship between SFRP4 expression and clinicopathologic characteristics in patients with gastric cancer. The influence of SFRP4 on tumor progression was evaluated by CCK-8, colony formation, cell apoptosis, and cell cycle in vitro, as well as xenograft model in vivo. The methylation status of SFRPs was examined in gastric cancer specimens by quantitative methylation analysis. SFRP4 was most upregulated in advanced gastric cancer. High intratumoral SFRP4 expression, which was associated with tumor invasion and metastasis, was also a poor prognostic indicator for patients with gastric cancer. In vitro and in vivo studies revealed that SFRP4 could promote tumor growth; however, IWR-1 could suppress tumor growth mediated by SFRP4 overexpression. Mechanistic exploration found that SFRP4 was overexpressed by the decrease of promoter methylation and thus could competitively antagonize the inhibitory effect of SFRP1 on Wnt pathway activation and tumor progression in gastric cancer.",Sep-21,2025/4/23 17:57,2025/4/23 19:58,,1454-1464,,9,19,,Mol. Cancer Res.,,,,,,,,English,,,,,Clarivate Analytics Web of science,,Num Pages: 11 Place: Philadelphia Publisher: Amer Assoc Cancer Research Web of Science ID: WOS:000693187500003,,,,EXPRESSION; MARKER; PROGNOSIS; INHIBITION; GENES; BETA-CATENIN; DOMAIN; FREQUENT EPIGENETIC INACTIVATION; METHYLATION STATUS; PROTEIN 4; 410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIGBQZNP,journalArticle,2019,"Mori, Yuichi; Kudo, Shin-ei; Mohmed, Hussein E. N.; Misawa, Masashi; Ogata, Noriyuki; Itoh, Hayato; Oda, Masahiro; Mori, Kensaku",Artificial intelligence and upper gastrointestinal endoscopy: Current status and future perspective,DIGESTIVE ENDOSCOPY,,"0915-5635, 1443-1661",10.1111/den.13317,http://gateway.isiknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=AegeanSoftware&SrcApp=NoteExpress&DestLinkType=FullRecord&DestApp=WOS&KeyUT=000474302600008,"With recent breakthroughs in artificial intelligence, computer-aided diagnosis (CAD) for upper gastrointestinal endoscopy is gaining increasing attention. Main research focuses in this field include automated identification of dysplasia in Barrett's esophagus and detection of early gastric cancers. By helping endoscopists avoid missing and mischaracterizing neoplastic change in both the esophagus and the stomach, these technologies potentially contribute to solving current limitations of gastroscopy. Currently, optical diagnosis of early-stage dysplasia related to Barrett's esophagus can be precisely achieved only by endoscopists proficient in advanced endoscopic imaging, and the false-negative rate for detecting gastric cancer is approximately 10%. Ideally, these novel technologies should work during real-time gastroscopy to provide on-site decision support for endoscopists regardless of their skill; however, previous studies of these topics remain ex vivo and experimental in design. Therefore, the feasibility, effectiveness, and safety of CAD for upper gastrointestinal endoscopy in clinical practice remain unknown, although a considerable number of pilot studies have been conducted by both engineers and medical doctors with excellent results. This review summarizes current publications relating to CAD for upper gastrointestinal endoscopy from the perspective of endoscopists and aims to indicate what is required for future research and implementation in clinical practice.",Jul-19,2025/4/23 17:57,2025/4/23 20:05,,378-388,,4,31,,Dig. Endosc.,,,,,,,,English,,,,,Clarivate Analytics Web of science,,Num Pages: 11 Place: Hoboken Publisher: Wiley Web of Science ID: WOS:000474302600008,,,,HELICOBACTER-PYLORI INFECTION; GASTRIC-CANCER; LESIONS; SYSTEM; MAGNIFYING ENDOSCOPY; gastroscopy; IMAGES; detection; COMPUTER-AIDED DIAGNOSIS; ESOPHAGUS; stomach; ALGORITHM; COLORECTAL POLYP HISTOLOGY; computer-aided; esophagus; 673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K65XDMVL,journalArticle,2018,#NAME?,Linked color imaging and blue laser imaging for upper gastrointestinal screening,Clinical Endoscopy,,2234-2400,10.5946/ce.2018.132,MEDLINE:30384402,"White light imaging (WLI) may not reveal early upper gastrointestinal cancers. Linked color imaging (LCI) produces bright images in the distant view and is performed for the same screening indications as WLI. LCI and blue laser imaging (BLI) provide excellent visibility of gastric cancers in high color contrast with respect to the surrounding tissue. The characteristic purple and green color of metaplasias on LCI and BLI, respectively, serve to increase the contrast while visualizing gastric cancers regardless of a history of Helicobacter pylori eradication. LCI facilitates color-based recognition of early gastric cancers of all morphological types, including flat lesions or those in an H. pylori-negative normal background mucosa as well as the diagnosis of inflamed mucosae including erosions. LCI reveals changes in mucosal color before the appearance of morphological changes in various gastric lesions. BLI is superior to LCI in the detection of early esophageal cancers and abnormal findings of microstructure and microvasculature in close-up views of upper gastrointestinal cancers. Excellent images can also be obtained with transnasal endoscopy. Using a combination of these modalities allows one to obtain images useful for establishing a diagnosis. It is important to observe esophageal cancers (brown) using BLI and gastric cancers (orange) surrounded by intestinal metaplasia (purple) and duodenal cancers (orange) by LCI.",2018,2025/4/23 19:24,2025/4/23 20:23,,,,6,51,,Clin. Endosc.,,,,,,,,en,,,,,Clarivate Analytics Web of science,,Place: Korea (South) Web of Science ID: MEDLINE:30384402,,,,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8GRAZ4J2,journalArticle,2024,"He, Yihao; Cai, Peiyuan; Hu, Anchi; Li, Jiali; Li, Xuan; Dang, Yini",The role of 1400 plasma metabolites in gastric cancer: A bidirectional Mendelian randomization study and metabolic pathway analysis,MEDICINE,,"0025-7974, 1536-5964",10.1097/MD.0000000000040612,http://gateway.isiknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=AegeanSoftware&SrcApp=NoteExpress&DestLinkType=FullRecord&DestApp=WOS&KeyUT=001367671300015,"While observational studies have illustrated correlations between plasma metabolites and gastric cancer (GC), the causal association between the 2 is still unclear. Our study aims to delineate the bidirectional relationship between plasma metabolites and GC and find potential metabolic pathways. We undertook a bidirectional 2-sample Mendelian randomization (MR) analysis to investigate the causal relationship, specificity, and direction of association between 1400 plasma metabolites and GC. The GWAS data for metabolites was obtained from a cohort of 8299 European individuals. And the GC's GWAS data was from FinnGen Consortium with 2384 European individuals, and the GWAS catalog with 1029 European ancestry cases for validation. Causal estimates were primarily calculated by the inverse-variance weighted (IVW) method. To ensure robustness, we performed comprehensive sensitivity analyses to assess heterogeneity and address concerns regarding horizontal pleiotropy. We validated the forward relationship between metabolites and GC from another database and implemented meta-analysis. Furthermore, we conducted metabolic enrichment and pathway analysis of these causal metabolites using MetaboAnalyst5.0/6.0 with the database of Kyoto Encyclopedia of Genes and Genomes. All statistical analysis was carried out using R software. Metabolites like 2s, 3R-dihydroxybutyrate, 4-acetamidobutanoate, ferulic acid 4-sulfate and methyl indole-3-acetate was proven positively linked with the development of GC. Asparagine, glucose to maltose ratio, glycohyocholate, Gulonate levels, linoleoyl ethanolamide and Spermidine to (N(1) + N(8))-acetylspermidine ratio was proven to be negatively associated with GC. Moreover, linoleic acid, histidine, glutamine, bilirubin, Succinate to proline ratio were found to be potentially linked to the development of GC. Furthermore, our analysis identified 18 significant metabolic pathways, including Arginine and proline metabolism (P < .009) and Valine, leucine, and isoleucine biosynthesis (P < .031). Our findings offer evidence supporting potential casual relations between multiple plasma metabolites and GC. These findings may offer great potential for future application of these biomarkers in GC screening and clinical prevention strategies.",2024/11/29,2025/4/23 17:57,2025/4/23 19:50,,e40612,,48,103,,Medicine (Baltimore),,,,,,,,English,,,,,Clarivate Analytics Web of science,,Num Pages: 12 Place: Philadelphia Publisher: Lippincott Williams & Wilkins Web of Science ID: WOS:001367671300015,,,,RISK; BIOLOGY; BLOOD METABOLITES; gastric cancer; M2; Mendelian randomization; NITRIC-OXIDE; plasma metabolome; PROLINE METABOLISM; PYRUVATE-KINASE; sensitivity; 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR9PNRS,journalArticle,2019,#NAME?,Linked color imaging highlights flat early gastric cancer,Case Reports in Gastroenterology,,1662-0631,10.1159/000504957,MEDLINE:31911767,"While linked color imaging (LCI) may allow flat early gastric cancer to be detected early, the endoscopic and pathological features of lesions detected by LCI remain poorly described. Screening esophagogastroduodenoscopy performed on a 68-year-old woman revealed a yellowish, flat lesion shown to be reddish in its central area, located in the anterior wall of the gastric lower body on white light imaging (WLI). On LCI, the lesion was highlighted as an orangish, flat lesion shown to be purple-colored in its central area, surrounded by lavender-colored tissue. Endoscopic submucosal dissection performed led to the patient being diagnosed with tubular adenocarcinoma, well-differentiated type (tub1), pT1a (M). This case suggests that LCI may prove more useful than WLI for the detection of flat early gastric cancer lesions. Copyright © 2019 by S. Karger AG, Basel.",2019,2025/4/23 19:24,2025/4/23 20:22,,,,3,13,,Case Rep. Gastroenterol.,,,,,,,,en,,,,,Clarivate Analytics Web of science,,Place: Switzerland Web of Science ID: MEDLINE:31911767,,,,1270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSMRPTF4,journalArticle,2017,"Lin, Zhenghua; Luo, Mengzhao; Chen, Xueqing; He, Xingkang; Qian, Yun; Lai, Sanchuan; Si, Jianmin; Chen, Shujie","Combined Detection of Plasma ZIC1, HOXD10 and RUNX3 Methylation is a Promising Strategy for Early Detection of Gastric Cancer and Precancerous Lesions",JOURNAL OF CANCER,,1837-9664,10.7150/jca.18169,http://gateway.isiknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=AegeanSoftware&SrcApp=NoteExpress&DestLinkType=FullRecord&DestApp=WOS&KeyUT=000402472200016,"We try to explore the value of aberrant DNA methylation of several cancer-related genes in plasma as non-invasive biomarkers for gastric cancer (GC) and precancerous lesions. By using methylation-specific polymerase chain reaction assay we determined the methylation status of three selected genes ZIC1, HOXD10 and RUNX3 in blood samples from patients with GC and precancerous lesions. We discovered that the methylation rate of ZIC1, HOXD10 and RUNX3 increased significantly in the progression of gastric carcinogenesis. Methylation of ZIC1 was associated with positive serum CA19-9, while that of HOXD10 was related to H. pylori status, serum CA19-9 and CEA levels and tumor invasion depth. The Odds ratios (ORs) of ZIC1, HOXD10 and RUNX3 methylation for predicting GC were 4.285 (95% CI: 2.435-7.542), 3.133 (95% CI: 1.700-5.775) and 2.674 (95% CI: 1.441-4.960), while for predicting ""gastric cancer and intraepithelial neoplasia"" (GnI), the ORs were 12.011 (95% CI: 0.050-28.564), 9.174 (95% CI: 3.220-26.135) and 12.794 (95% CI: 4.115-39.778), respectively. In terms of combined detection of these three genes, the sensitivity was 91.6% for GC and 89.8% for GnI, with the highest Youden index in both GC and GnI determination. Conclusively, combined detection of ZIC1, HOXD10 and RUNX3 promoter hypermethylation might be a promising strategy for early detection of GC and precancerous lesions.",2017,2025/4/23 17:57,2025/4/23 20:10,,1038-1044,,6,8,,J. Cancer,,,,,,,,English,,,,,Clarivate Analytics Web of science,,Num Pages: 7 Place: Lake Haven Publisher: Ivyspring Int Publ Web of Science ID: WOS:000402472200016,,,,Gastric cancer; RISK; SERUM; BIOMARKER; GENE; CARCINOGENESIS; DNA methylation; TUMOR; Homeobox D10; PROMOTER HYPERMETHYLATION; Runt-related transcription factor 3; Zinc finger of the cerebellum 1; 854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QR7ZZ9HY,journalArticle,2014,"Otani, Koji; Dong, Yujuan; Li, Xiaoxing; Lu, Jing; Zhang, Ning; Xu, Lixia; Go, Minnie Y. Y.; Ng, Enders K. W.; Arakawa, Tetsuo; Chan, Francis K. L.; Sung, Joseph J. Y.; Yu, Jun",Odd-skipped related 1 is a novel tumour suppressor gene and a potential prognostic biomarker in gastric cancer,JOURNAL OF PATHOLOGY,,"0022-3417, 1096-9896",10.1002/path.4391,http://gateway.isiknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=AegeanSoftware&SrcApp=NoteExpress&DestLinkType=FullRecord&DestApp=WOS&KeyUT=000343816000004,"We report that the odd-skipped related 1 (OSR1) gene encoding a zinc-finger transcription factor was preferentially methylated in gastric cancer by genome-wide methylation screening. OSR1 expression was frequently silenced or down-regulated in gastric cancer cell lines. OSR1 expression was also significantly down-regulated at both mRNA and protein levels in primary gastric cancer tissues compared with adjacent normal tissues. The silencing or down-regulation of OSR1 was closely associated with promoter hypermethylation. Overexpression of OSR1 significantly inhibited cell growth, arrested the cell cycle, and induced apoptosis in the gastric cancer cell lines AGS, MKN28, and MGC803. Conversely, knockdown of OSR1 by OSR1-short hairpin RNA significantly enhanced cell growth, promoted the cell cycle, and inhibited apoptosis in the normal gastric epithelial cell line GES1. The dual-luciferase reporter assay revealed that OSR1 activated p53 transcription and repressed the T-cell factor (TCF)/lymphoid enhancer factor (LEF). Complementary DNA expression array and western blotting showed that OSR1 increased the expression of nuclear p53, p21, Fas, and death receptor-5, and suppressed the expression of cyclin D1 and cyclin-dependent kinase 4 in the p53 signalling pathway. In addition, OSR1 suppressed the expression of cytoplasmic -catenin, TCF-1, and LEF1 in the Wnt/-catenin signalling pathway. OSR1 methylation was detected in 51.8% of primary gastric cancer patients (85 of 164) by bisulphite genomic sequencing. Multivariate Cox regression analysis showed that OSR1 methylation was an independent predictor of poor survival. Kaplan-Meier survival curves revealed that OSR1 methylation was associated with shortened survival in TNM stage I-III patients. In conclusion, OSR1 acts as a functional tumour suppressor through the transcriptional activation of p53 and repression of TCF/LEF in gastric cancer. Detection of OSR1 methylation may serve as a potential biomarker of the early stage of gastric cancer. (c) 2014 The Authors. The Journal of Pathology published by John Wiley & Sons Ltd on behalf of Pathological Society of Great Britain and Ireland.",Nov-14,2025/4/23 17:57,2025/4/23 20:15,,302-315,,3,234,,J. Pathol.,,,,,,,,English,,,,,Clarivate Analytics Web of science,,Num Pages: 14 Place: Hoboken Publisher: Wiley Web of Science ID: WOS:000343816000004,,,,gastric cancer; INVASION; CARCINOGENESIS; INHIBITION; METHYLATION; prognosis; methylation; CELL-CYCLE; INDUCTION; BETA-CATENIN GENE; CENTROSOME; GAMMA-IRRADIATION; odd-skipped related 1 (OSR1); tumour suppressor; WNT SIGNALING PATHWAY; 1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F9HAPNUI,journalArticle,2014,#NAME?,Concurrent robot-assisted distal gastrectomy and partial nephrectomy for synchronous early gastric cancer and renal cell carcinoma: an initial experience,Journal of Gastric Cancer,,2093-582X,10.5230/jgc.2014.14.3.211,MEDLINE:25328768,"We report our experience of a concurrent robot assisted distal gastrectomy and partial nephrectomy for synchronous early gastric cancer and renal cell carcinoma. A 55-year-old female patient was diagnosed with early gastric cancer on screening endoscopy. Abdominal computed tomography showed an incidental right renal cell carcinoma. Robot assisted distal gastrectomy was performed, followed by partial nephrectomy. The final pathological examination showed signet ring cell carcinoma within the lamina propria and renal cell carcinoma with negative resection margins. The patient showed no evidence of recurrence at 6-months. A robot-assisted combined operation could be a treatment option for early stages of synchronous malignancies.",2014,2025/4/23 19:24,2025/4/23 20:22,,,,3,14,,J. Gastric Cancer,,,,,,,,en,,,,,Clarivate Analytics Web of science,,Place: Korea (South) Web of Science ID: MEDLINE:25328768,,,,1312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
